ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
459338,Male,1.0,80,0.0,4.0,,2,,Cat_6,A
459339,Male,1.0,29,1.0,5.0,8.0,1,2.0,Cat_6,D
459344,Female,1.0,88,1.0,0.0,1.0,1,2.0,Cat_6,C
459347,Male,1.0,70,1.0,7.0,1.0,2,1.0,Cat_6,A
459349,Female,1.0,50,1.0,0.0,1.0,1,4.0,Cat_6,C
459352,Male,1.0,43,1.0,1.0,4.0,0,4.0,Cat_3,C
459353,Male,1.0,51,1.0,0.0,6.0,0,2.0,Cat_6,C
459354,Female,1.0,50,1.0,0.0,,1,3.0,Cat_6,C
459355,Female,1.0,74,0.0,6.0,,2,1.0,Cat_6,A
459360,Female,0.0,29,1.0,5.0,,2,3.0,Cat_6,D
459361,Female,0.0,32,1.0,2.0,,2,2.0,Cat_6,A
459362,Male,1.0,60,0.0,4.0,0.0,2,2.0,Cat_6,A
459363,Male,0.0,46,1.0,0.0,2.0,2,1.0,Cat_6,A
459364,Female,1.0,81,1.0,8.0,0.0,2,2.0,Cat_6,A
459369,Male,1.0,41,0.0,2.0,,0,7.0,Cat_4,B
459375,Male,1.0,22,0.0,4.0,0.0,1,4.0,Cat_6,D
459377,Male,1.0,37,1.0,0.0,0.0,0,3.0,Cat_6,C
459383,Male,1.0,43,0.0,2.0,0.0,2,1.0,Cat_6,A
459384,Male,1.0,50,1.0,0.0,1.0,0,3.0,Cat_6,C
459385,Female,1.0,35,1.0,0.0,1.0,0,2.0,Cat_7,C
459386,Male,1.0,65,0.0,7.0,1.0,1,2.0,Cat_6,A
459391,Female,0.0,41,1.0,2.0,0.0,2,4.0,Cat_6,A
459394,Male,0.0,28,0.0,3.0,8.0,2,2.0,Cat_6,D
459397,Male,1.0,55,1.0,0.0,4.0,0,2.0,Cat_6,C
459398,Female,1.0,58,0.0,7.0,,1,2.0,Cat_6,A
459401,Male,0.0,28,0.0,5.0,1.0,2,3.0,,D
459403,Male,1.0,48,1.0,0.0,,0,4.0,Cat_7,C
459405,Female,1.0,78,0.0,1.0,1.0,1,2.0,Cat_6,A
459407,Female,0.0,35,1.0,1.0,1.0,2,3.0,Cat_6,A
459409,Female,1.0,76,1.0,7.0,0.0,1,2.0,Cat_6,C
459410,Female,1.0,88,1.0,7.0,1.0,1,2.0,Cat_6,C
459412,Male,1.0,61,1.0,,1.0,0,3.0,Cat_6,C
459413,Female,1.0,79,1.0,0.0,,1,2.0,Cat_6,C
459415,Male,0.0,30,0.0,1.0,0.0,2,4.0,Cat_6,D
459418,Male,1.0,69,0.0,4.0,0.0,1,2.0,Cat_6,A
459419,Male,1.0,65,1.0,1.0,1.0,0,2.0,Cat_6,C
459420,Female,1.0,70,1.0,7.0,1.0,2,2.0,Cat_6,A
459421,Male,1.0,32,0.0,5.0,0.0,0,4.0,Cat_6,D
459422,Male,1.0,46,1.0,3.0,,2,4.0,Cat_6,A
459423,Male,0.0,21,0.0,5.0,8.0,2,5.0,Cat_6,D
459424,Male,1.0,47,1.0,1.0,,2,3.0,Cat_6,A
459428,Female,0.0,39,0.0,8.0,0.0,2,2.0,Cat_4,D
459432,Male,1.0,85,1.0,7.0,0.0,2,3.0,Cat_6,C
459436,Female,0.0,66,1.0,0.0,0.0,2,2.0,Cat_6,B
459439,Female,1.0,50,1.0,0.0,1.0,0,2.0,Cat_6,C
459445,Female,1.0,42,1.0,0.0,0.0,0,3.0,Cat_6,C
459447,Male,1.0,53,1.0,0.0,9.0,2,1.0,Cat_6,B
459449,Male,1.0,37,1.0,0.0,,2,2.0,Cat_6,B
459451,Female,1.0,45,1.0,0.0,1.0,2,2.0,Cat_6,B
459456,Female,0.0,66,0.0,7.0,,2,1.0,Cat_6,D
459458,Male,0.0,33,0.0,8.0,,2,,Cat_6,D
459459,Male,1.0,40,1.0,0.0,4.0,2,1.0,Cat_6,B
459461,Female,1.0,35,1.0,0.0,1.0,2,1.0,Cat_1,A
459464,Male,0.0,27,1.0,0.0,,2,2.0,Cat_6,A
459466,Female,1.0,48,1.0,0.0,0.0,0,3.0,Cat_4,C
459467,Female,1.0,56,1.0,0.0,0.0,0,2.0,Cat_6,C
459469,Male,1.0,25,1.0,5.0,,2,6.0,Cat_6,D
459471,Female,0.0,30,0.0,0.0,,2,8.0,Cat_6,D
459480,Female,1.0,46,1.0,3.0,7.0,2,3.0,Cat_6,A
459481,Male,1.0,49,0.0,7.0,0.0,2,2.0,Cat_6,D
459482,Male,1.0,72,0.0,8.0,1.0,2,4.0,Cat_6,A
459485,Female,1.0,79,1.0,7.0,,1,2.0,Cat_6,C
459496,Female,0.0,35,1.0,0.0,,2,3.0,Cat_6,A
459497,Female,1.0,77,1.0,7.0,0.0,2,1.0,Cat_6,A
459499,Female,1.0,79,0.0,7.0,,1,2.0,Cat_6,A
459503,Male,1.0,42,1.0,5.0,6.0,1,4.0,Cat_6,B
459505,Female,0.0,42,1.0,2.0,,2,1.0,Cat_6,A
459507,Male,1.0,67,0.0,7.0,,1,2.0,Cat_1,A
459509,Male,0.0,26,1.0,5.0,1.0,2,1.0,Cat_6,D
459512,Male,1.0,67,1.0,7.0,1.0,1,2.0,Cat_6,C
459515,Male,1.0,55,1.0,2.0,1.0,2,1.0,Cat_6,A
459516,Female,,56,1.0,0.0,,0,2.0,Cat_6,C
459518,Male,1.0,63,,,,0,4.0,Cat_6,C
459535,Male,1.0,46,1.0,0.0,8.0,0,2.0,Cat_6,C
459536,Male,1.0,32,1.0,5.0,7.0,2,2.0,Cat_6,D
459538,Female,0.0,49,1.0,6.0,13.0,2,1.0,Cat_6,A
459541,Male,1.0,59,1.0,0.0,1.0,1,2.0,Cat_6,C
459549,Male,0.0,22,0.0,5.0,8.0,2,5.0,Cat_4,D
459555,Female,0.0,28,1.0,0.0,8.0,2,1.0,Cat_6,A
459558,Male,0.0,28,1.0,3.0,1.0,2,3.0,Cat_6,D
459564,Male,1.0,75,1.0,7.0,2.0,2,1.0,Cat_6,A
459566,Female,1.0,37,1.0,0.0,13.0,2,2.0,Cat_6,B
459567,Male,1.0,50,1.0,1.0,0.0,0,2.0,Cat_6,C
459571,Female,1.0,50,1.0,4.0,1.0,1,4.0,Cat_6,C
459576,Female,1.0,88,0.0,7.0,,2,,,A
459579,Female,1.0,35,1.0,0.0,3.0,0,5.0,Cat_4,C
459581,Female,0.0,35,0.0,,,2,,Cat_7,D
459582,Male,1.0,31,0.0,3.0,,0,3.0,Cat_6,D
459583,Male,1.0,46,1.0,0.0,0.0,2,1.0,Cat_6,B
459585,Female,1.0,50,1.0,0.0,1.0,0,4.0,Cat_6,C
459587,Female,0.0,33,1.0,0.0,7.0,2,3.0,Cat_6,A
459588,Male,1.0,49,1.0,0.0,0.0,2,1.0,Cat_6,B
459591,Male,1.0,52,1.0,0.0,1.0,0,3.0,Cat_6,C
459592,Male,0.0,25,0.0,5.0,0.0,2,3.0,Cat_6,D
459594,Female,1.0,41,1.0,0.0,6.0,2,1.0,Cat_6,B
459597,Female,1.0,68,1.0,0.0,0.0,1,2.0,Cat_6,C
459603,Female,1.0,79,0.0,7.0,2.0,1,2.0,Cat_6,A
459607,Male,1.0,40,1.0,3.0,5.0,0,5.0,Cat_6,B
459608,Female,0.0,62,1.0,1.0,,2,1.0,Cat_6,A
459612,Male,0.0,21,0.0,5.0,,2,2.0,Cat_6,D
459616,Female,0.0,20,0.0,5.0,,2,4.0,Cat_1,D
459617,Male,0.0,28,1.0,3.0,1.0,2,5.0,Cat_6,D
459618,Male,1.0,57,1.0,1.0,0.0,0,2.0,Cat_4,C
459621,Female,0.0,25,0.0,5.0,8.0,2,,,D
459625,Female,1.0,63,0.0,2.0,8.0,2,1.0,Cat_6,A
459626,Female,1.0,26,0.0,3.0,1.0,2,3.0,Cat_6,D
459632,Female,1.0,50,0.0,8.0,0.0,1,3.0,Cat_4,D
459644,Female,0.0,30,0.0,8.0,9.0,2,4.0,Cat_2,D
459652,Female,0.0,26,0.0,2.0,,2,4.0,Cat_4,D
459658,Male,1.0,61,1.0,0.0,1.0,0,3.0,Cat_6,C
459664,Male,0.0,42,1.0,0.0,3.0,2,1.0,Cat_6,A
459665,Male,1.0,88,1.0,0.0,4.0,2,2.0,Cat_6,C
459672,Male,1.0,45,0.0,0.0,3.0,0,3.0,Cat_6,C
459673,Female,1.0,86,1.0,7.0,1.0,2,1.0,Cat_6,A
459678,Male,0.0,18,0.0,5.0,1.0,2,5.0,Cat_6,D
459680,Male,0.0,37,1.0,3.0,,2,1.0,Cat_6,A
459686,Male,1.0,46,1.0,0.0,1.0,2,1.0,Cat_6,B
459691,Male,1.0,58,0.0,0.0,,0,2.0,Cat_6,C
459692,Female,1.0,72,1.0,7.0,8.0,1,2.0,Cat_6,C
459693,Female,1.0,50,1.0,0.0,0.0,1,3.0,,C
459699,Female,,56,1.0,2.0,8.0,0,3.0,Cat_6,C
459701,Male,0.0,46,0.0,0.0,3.0,2,3.0,Cat_5,A
459710,Male,1.0,57,1.0,0.0,,2,1.0,Cat_6,B
459711,Male,1.0,42,0.0,4.0,9.0,1,6.0,Cat_6,D
459712,Male,0.0,20,0.0,5.0,,2,4.0,Cat_6,D
459713,Male,0.0,19,0.0,5.0,,2,3.0,Cat_6,D
459715,Male,0.0,19,0.0,5.0,4.0,2,4.0,Cat_6,D
459718,Male,1.0,68,1.0,4.0,1.0,2,1.0,Cat_6,A
459725,Female,1.0,40,1.0,0.0,0.0,2,2.0,Cat_6,B
459727,Male,1.0,82,0.0,7.0,,1,2.0,Cat_6,A
459740,Female,0.0,23,0.0,5.0,1.0,2,3.0,Cat_6,D
459742,Female,1.0,84,0.0,7.0,1.0,1,2.0,Cat_6,A
459745,Male,1.0,51,0.0,0.0,0.0,2,4.0,Cat_1,A
459746,Male,,59,1.0,0.0,1.0,0,2.0,Cat_6,C
459747,Female,1.0,41,1.0,0.0,1.0,0,5.0,Cat_6,C
459748,Male,1.0,51,0.0,4.0,1.0,1,2.0,Cat_6,A
459755,Female,1.0,62,0.0,0.0,,0,3.0,Cat_6,C
459756,Female,1.0,62,0.0,7.0,1.0,1,4.0,Cat_4,C
459760,Female,1.0,38,1.0,0.0,8.0,2,1.0,Cat_6,A
459763,Male,0.0,18,0.0,0.0,,2,4.0,Cat_4,D
459767,Male,0.0,22,0.0,5.0,3.0,2,4.0,Cat_6,D
459771,Female,,30,1.0,1.0,0.0,2,3.0,Cat_3,A
459779,Female,1.0,62,1.0,3.0,1.0,2,1.0,Cat_6,A
459780,Female,0.0,43,0.0,3.0,1.0,2,3.0,Cat_6,D
459785,Female,0.0,32,1.0,2.0,,2,1.0,Cat_3,A
459793,Male,1.0,37,1.0,0.0,1.0,1,,Cat_6,C
459795,Male,0.0,48,1.0,0.0,1.0,2,1.0,Cat_6,A
459801,Female,0.0,31,1.0,2.0,4.0,2,2.0,Cat_6,A
459804,Male,1.0,46,0.0,0.0,4.0,1,4.0,Cat_6,A
459806,Female,1.0,49,0.0,2.0,1.0,0,4.0,Cat_6,B
459808,Male,1.0,43,0.0,1.0,,0,4.0,Cat_6,A
459815,Male,0.0,42,1.0,0.0,8.0,2,1.0,Cat_6,A
459816,Male,1.0,37,1.0,1.0,,2,2.0,Cat_6,A
459819,Male,1.0,72,1.0,3.0,,1,2.0,Cat_6,C
459821,Male,,71,0.0,4.0,,1,1.0,,A
459822,Female,0.0,39,1.0,2.0,1.0,2,1.0,Cat_4,A
459825,Male,0.0,20,0.0,5.0,0.0,2,5.0,Cat_2,D
459827,Female,0.0,26,0.0,,,2,1.0,Cat_7,D
459832,Male,1.0,72,1.0,4.0,1.0,2,1.0,Cat_6,A
459845,Male,1.0,70,1.0,5.0,0.0,2,1.0,Cat_4,A
459851,Male,0.0,45,1.0,0.0,2.0,2,1.0,Cat_6,A
459853,Male,0.0,33,0.0,4.0,7.0,2,5.0,Cat_6,D
459856,Male,1.0,50,0.0,3.0,0.0,0,3.0,Cat_6,A
459857,Male,0.0,31,1.0,3.0,6.0,2,1.0,Cat_6,D
459861,Female,1.0,74,0.0,7.0,1.0,1,2.0,Cat_6,A
459864,Female,1.0,68,0.0,0.0,,1,2.0,Cat_6,C
459866,Female,0.0,49,1.0,0.0,,2,1.0,Cat_6,A
459867,Male,1.0,49,1.0,8.0,0.0,1,2.0,Cat_6,B
459869,Female,0.0,18,0.0,5.0,1.0,2,3.0,Cat_6,D
459871,Female,1.0,85,0.0,3.0,2.0,0,2.0,Cat_6,C
459885,Female,0.0,38,1.0,3.0,,2,4.0,Cat_6,D
459886,Male,1.0,28,0.0,0.0,0.0,2,4.0,Cat_6,A
459887,Male,1.0,46,0.0,0.0,3.0,0,2.0,,C
459889,Male,1.0,59,1.0,6.0,9.0,0,3.0,Cat_6,B
459897,Female,1.0,56,1.0,0.0,0.0,2,2.0,Cat_6,B
459909,Male,1.0,69,1.0,0.0,0.0,2,1.0,Cat_6,B
459910,Male,1.0,66,1.0,0.0,0.0,2,2.0,Cat_6,B
459911,Male,0.0,18,0.0,5.0,4.0,2,6.0,Cat_2,D
459914,Male,0.0,36,1.0,0.0,4.0,2,1.0,Cat_4,A
459923,Male,0.0,31,1.0,8.0,1.0,2,2.0,Cat_3,D
459925,Male,1.0,67,0.0,4.0,1.0,1,2.0,Cat_4,A
459937,Female,0.0,39,1.0,0.0,7.0,2,1.0,Cat_6,A
459943,Male,0.0,42,1.0,3.0,4.0,2,3.0,Cat_6,A
459945,Male,1.0,50,1.0,0.0,0.0,2,2.0,Cat_6,B
459946,Female,1.0,37,1.0,0.0,0.0,0,2.0,Cat_6,C
459949,Female,0.0,59,1.0,0.0,0.0,2,1.0,Cat_6,B
459953,Male,1.0,50,1.0,0.0,8.0,2,2.0,Cat_6,B
459961,Male,1.0,48,1.0,0.0,8.0,2,3.0,Cat_2,B
459962,Male,1.0,55,1.0,0.0,9.0,2,1.0,Cat_6,B
459966,Female,0.0,33,1.0,1.0,1.0,2,3.0,Cat_6,A
459968,Male,0.0,38,1.0,0.0,13.0,2,1.0,Cat_7,A
459970,Male,0.0,43,1.0,0.0,0.0,2,2.0,Cat_6,A
459973,Female,0.0,53,1.0,0.0,0.0,2,2.0,Cat_6,A
459974,Male,0.0,37,1.0,3.0,0.0,2,1.0,Cat_6,A
459975,Female,0.0,36,1.0,0.0,5.0,2,1.0,Cat_6,A
459981,Male,0.0,36,1.0,0.0,5.0,2,1.0,Cat_6,A
459986,Male,1.0,62,1.0,0.0,1.0,2,1.0,Cat_6,B
459995,Female,0.0,38,0.0,0.0,2.0,2,2.0,Cat_6,A
459996,Male,0.0,55,1.0,3.0,1.0,2,1.0,Cat_6,A
459998,Male,1.0,60,0.0,3.0,1.0,0,2.0,Cat_6,A
460004,Female,1.0,36,1.0,3.0,7.0,0,2.0,Cat_5,B
460006,Male,0.0,30,0.0,3.0,5.0,2,9.0,Cat_3,D
460014,Female,0.0,66,0.0,3.0,4.0,2,3.0,Cat_6,A
460023,Male,1.0,45,1.0,3.0,1.0,2,1.0,Cat_6,A
460027,Female,0.0,40,1.0,3.0,6.0,2,,Cat_6,A
460033,Female,,45,1.0,3.0,5.0,2,3.0,Cat_6,A
460036,Male,1.0,41,1.0,,2.0,2,1.0,Cat_6,A
460040,Female,1.0,62,1.0,6.0,4.0,2,1.0,Cat_5,A
460045,Male,1.0,61,1.0,0.0,1.0,2,2.0,Cat_6,B
460046,Female,1.0,50,1.0,0.0,4.0,2,2.0,Cat_6,B
460050,Male,1.0,53,1.0,3.0,3.0,2,2.0,Cat_6,A
460051,Male,0.0,39,1.0,0.0,7.0,2,1.0,Cat_6,A
460052,Female,0.0,86,1.0,7.0,0.0,2,1.0,Cat_3,A
460058,Male,1.0,50,1.0,0.0,1.0,2,1.0,Cat_4,B
460059,Female,0.0,46,0.0,3.0,4.0,2,,Cat_4,D
460061,Male,0.0,52,1.0,8.0,0.0,2,1.0,Cat_3,D
460066,Female,0.0,45,0.0,8.0,0.0,2,1.0,Cat_6,D
460068,Female,0.0,37,1.0,0.0,9.0,2,1.0,Cat_6,A
460073,Female,1.0,36,1.0,2.0,3.0,2,1.0,Cat_6,A
460075,Female,0.0,25,1.0,0.0,,2,1.0,Cat_6,A
460079,Female,0.0,40,0.0,1.0,1.0,2,1.0,Cat_6,A
460081,Male,1.0,41,1.0,0.0,11.0,1,2.0,Cat_6,C
460088,Female,1.0,25,1.0,6.0,,1,2.0,Cat_6,D
460090,Male,1.0,80,0.0,7.0,4.0,0,2.0,Cat_6,A
460093,Female,0.0,46,1.0,0.0,3.0,2,1.0,Cat_3,A
460095,Female,1.0,81,1.0,7.0,1.0,2,1.0,Cat_6,A
460097,Male,,40,1.0,0.0,0.0,2,2.0,Cat_3,B
460099,Male,0.0,49,1.0,,1.0,2,1.0,Cat_3,A
460101,Female,0.0,26,1.0,5.0,8.0,2,3.0,Cat_3,D
460103,Male,0.0,26,1.0,0.0,1.0,2,1.0,Cat_4,A
460105,Female,0.0,47,1.0,0.0,0.0,2,1.0,Cat_4,A
460106,Female,1.0,71,1.0,3.0,0.0,2,,Cat_6,A
460107,Male,1.0,48,1.0,2.0,1.0,0,5.0,Cat_6,B
460108,Male,1.0,39,1.0,0.0,1.0,0,3.0,Cat_2,C
460109,Male,1.0,50,1.0,0.0,8.0,0,2.0,Cat_6,C
460110,Female,0.0,46,1.0,0.0,1.0,2,2.0,,A
460112,Male,1.0,26,1.0,2.0,8.0,0,2.0,Cat_3,B
460116,Female,1.0,42,1.0,,1.0,2,2.0,Cat_6,A
460118,Female,1.0,36,1.0,0.0,4.0,2,2.0,Cat_6,B
460119,Male,0.0,29,1.0,5.0,1.0,2,4.0,Cat_6,D
460122,Female,0.0,39,0.0,0.0,1.0,2,1.0,Cat_6,A
460124,Female,0.0,41,1.0,0.0,0.0,2,3.0,Cat_6,A
460126,Female,1.0,48,1.0,8.0,8.0,2,,Cat_6,D
460134,Male,1.0,40,1.0,3.0,9.0,1,3.0,Cat_6,C
460135,Female,0.0,25,1.0,5.0,4.0,2,3.0,Cat_6,D
460140,Female,1.0,41,1.0,0.0,7.0,2,2.0,Cat_6,B
460141,Male,0.0,37,1.0,0.0,11.0,2,1.0,Cat_6,A
460144,Female,0.0,53,1.0,1.0,0.0,2,,Cat_3,A
460146,Female,1.0,51,1.0,2.0,0.0,0,3.0,Cat_3,C
460147,Male,1.0,73,1.0,3.0,1.0,0,3.0,Cat_6,C
460157,Male,1.0,61,0.0,,1.0,2,5.0,Cat_4,A
460160,Male,0.0,39,1.0,3.0,5.0,2,1.0,Cat_3,A
460162,Female,0.0,19,0.0,5.0,0.0,2,4.0,Cat_2,D
460166,Female,0.0,19,0.0,5.0,0.0,2,7.0,Cat_2,D
460167,Female,0.0,23,0.0,3.0,1.0,2,5.0,Cat_2,D
460168,Male,1.0,83,1.0,4.0,0.0,1,2.0,Cat_2,C
460171,Female,1.0,62,1.0,0.0,1.0,1,2.0,Cat_6,C
460174,Female,0.0,43,1.0,0.0,9.0,2,4.0,Cat_6,A
460175,Female,0.0,27,0.0,0.0,0.0,2,5.0,Cat_2,D
460177,Male,0.0,50,1.0,0.0,0.0,2,1.0,Cat_6,A
460179,Female,0.0,23,0.0,3.0,0.0,2,6.0,Cat_2,D
460183,Male,0.0,35,0.0,3.0,9.0,2,2.0,Cat_6,D
460185,Male,0.0,32,0.0,5.0,9.0,2,3.0,Cat_6,D
460187,Female,0.0,42,1.0,1.0,2.0,2,3.0,Cat_6,A
460189,Male,0.0,33,0.0,3.0,13.0,2,1.0,Cat_6,D
460190,Female,0.0,28,1.0,3.0,9.0,2,3.0,Cat_6,D
460192,Male,1.0,35,1.0,,1.0,2,2.0,Cat_7,A
